;taxno;taxno1;taxno2;Number;Genus;taxon;species;Subspecies;full.name;Lifecycle;PLOIDY;no_ploidy_lev;more_ploidies;ploidy_level;holoploid;monoploid;NewAPGFamily;Order;HigherGroup;reg_nat_main;reg_nat_island;reg_nat_total;GloNAF_incidence;reg_no_invasive;GloNAF_invasive;glonaf_3group;ploidy_level;ploidy_level_single
Anthericum_suffruticosum;angiosperms;1angiosperms;2angiosperms;1;Anthericum;suffruticosum;Anthericum_suffruticosum;;Anthericum suffruticosum ;P;D_P;2;2,4;2,4;19.7;9.85;Asparagaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2,4;2
Anthochortus_crinalis;angiosperms;1angiosperms;2angiosperms;913;Anthochortus;crinalis;Anthochortus_crinalis;;Anthochortus crinalis ;P;D_P;2;2,4;2,4;3.33;1.665;Restionaceae;Poales;M;NA;NA;NA;0;NA;0;0;2,4;2
Anthoxanthum_alpinum;angiosperms;1angiosperms;2angiosperms;884;Anthoxanthum;alpinum;Anthoxanthum_alpinum;;Anthoxanthum alpinum ;P;D_P;2;2,4;2,4;8.25;4.125;Poaceae;Poales;M;NA;1;1;1;NA;0;1;2,4;2
Arabidopsis_arenosa;angiosperms;1angiosperms;2angiosperms;599;Arabidopsis;arenosa;Arabidopsis_arenosa;;Arabidopsis arenosa ;B;D_P;2;2,4;2,4;0.59;0.295;Brassicaceae;Brassicales;E;12;1;13;1;NA;0;1;2,4;2
Arabidopsis_lyrata;angiosperms;1angiosperms;2angiosperms;599;Arabidopsis;lyrata;Arabidopsis_lyrata;subsp. lyrata;Arabidopsis lyrata subsp. lyrata;P;D_P;2;2,4;2,4;0.7;0.35;Brassicaceae;Brassicales;E;NA;NA;NA;0;NA;0;0;2,4;2
Arabidopsis_neglecta;angiosperms;1angiosperms;2angiosperms;599;Arabidopsis;neglecta;Arabidopsis_neglecta;;Arabidopsis neglecta ;B;D_P;2;2,4;2,4;0.6;0.3;Brassicaceae;Brassicales;E;NA;NA;NA;0;NA;0;0;2,4;2
Artemesia_khorassanica;angiosperms;1angiosperms;2angiosperms;954;Artemesia;khorassanica;Artemesia_khorassanica;;Artemesia khorassanica ;P;D_P;2;2,4;2,4;8.72;4.36;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2,4;2
Artemisia_abrotanum;angiosperms;1angiosperms;2angiosperms;521;Artemisia;abrotanum;Artemisia_abrotanum;;Artemisia abrotanum ;P;D_P;2;2,4;2,4;8.6;4.3;Asteraceae;Asterales;E;45;1;46;1;NA;0;1;2,4;2
Artemisia_bigelovii;angiosperms;1angiosperms;2angiosperms;774;Artemisia;bigelovii;Artemisia_bigelovii;;Artemisia bigelovii ;P;D_P;2;2,4;2,4;11.66;5.83;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2,4;2
Artemisia_campestris;angiosperms;1angiosperms;2angiosperms;386;Artemisia;campestris;Artemisia_campestris;;Artemisia campestris ;P;D_P;2;2,4;2,4;8.44;4.22;Asteraceae;Asterales;E;5;NA;5;1;NA;0;1;2,4;2
Artemisia_cana;angiosperms;1angiosperms;2angiosperms;774;Artemisia;cana;Artemisia_cana;subsp. bolanderi;Artemisia cana subsp. bolanderi;P;D_P;2;2,8;2,8;18.03;9.015;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2,8;2
Artemisia_herba-alba;angiosperms;1angiosperms;2angiosperms;386;Artemisia;herba-alba;Artemisia_herba-alba;subsp. herba-alba;Artemisia herba-alba subsp. herba-alba;P;D_P;2;2,4;2,4;9.53;4.765;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2,4;2
Artemisia_integrifolia;angiosperms;1angiosperms;2angiosperms;1013;Artemisia;integrifolia;Artemisia_integrifolia;;Artemisia integrifolia ;;D_P;2;2,4;2,4;5.22;2.61;Asteraceae;Asterales;E;2;NA;2;1;NA;0;1;2,4;2
Artemisia_tridentata;angiosperms;1angiosperms;2angiosperms;386;Artemisia;tridentata;Artemisia_tridentata;subsp. spiciformis Kartesz & Gandhi;Artemisia tridentata subsp. spiciformis Kartesz & Gandhi;P;D_P;2;2,4;2,4;11.63;5.815;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2,4;2
Artemisia_vulgaris;angiosperms;1angiosperms;2angiosperms;521;Artemisia;vulgaris;Artemisia_vulgaris;;Artemisia vulgaris ;P;D_P;2;2,4;2,4;9.32;4.66;Asteraceae;Asterales;E;85;14;99;1;2;1;2;2,4;2
Asparagus_maritimus;angiosperms;1angiosperms;2angiosperms;933;Asparagus;maritimus;Asparagus_maritimus;;Asparagus maritimus ;P;D_P;2;2,6;2,6;5.25;2.625;Asparagaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2,6;2
