;taxno;taxno1;taxno2;Number;Genus;taxon;species;Subspecies;full.name;Lifecycle;PLOIDY;no_ploidy_lev;more_ploidies;ploidy_level;holoploid;monoploid;NewAPGFamily;Order;HigherGroup;reg_nat_main;reg_nat_island;reg_nat_total;GloNAF_incidence;reg_no_invasive;GloNAF_invasive;glonaf_3group;ploidy_level;ploidy_level_single
Gossypium_rotundifolium;angiosperms;1angiosperms;2angiosperms;471;Gossypium;rotundifolium;Gossypium_rotundifolium;;Gossypium rotundifolium ;P;diploid;1;;2;5.01;2.505;Malvaceae;Malvales;E;NA;NA;NA;0;NA;0;0;2;2
Gossypium_somalense;angiosperms;1angiosperms;2angiosperms;471;Gossypium;somalense;Gossypium_somalense;;Gossypium somalense ;P;diploid;1;;2;3.06;1.53;Malvaceae;Malvales;E;NA;NA;NA;0;NA;0;0;2;2
Gossypium_stocksii;angiosperms;1angiosperms;2angiosperms;471;Gossypium;stocksii;Gossypium_stocksii;;Gossypium stocksii ;P;diploid;1;;2;3.13;1.565;Malvaceae;Malvales;E;NA;NA;NA;0;NA;0;0;2;2
Gossypium_sturtianum;angiosperms;1angiosperms;2angiosperms;471;Gossypium;sturtianum;Gossypium_sturtianum;;Gossypium sturtianum ;P;diploid;1;;2;4.12;2.06;Malvaceae;Malvales;E;1;NA;1;1;NA;0;1;2;2
Gossypium_thurberi;angiosperms;1angiosperms;2angiosperms;471;Gossypium;thurberi;Gossypium_thurberi;;Gossypium thurberi ;P;diploid;1;;2;1.72;0.86;Malvaceae;Malvales;E;1;NA;1;1;NA;0;1;2;2
Gossypium_tomentosum;angiosperms;1angiosperms;2angiosperms;471;Gossypium;tomentosum;Gossypium_tomentosum;;Gossypium tomentosum ;P;diploid;1;;2;4.87;2.435;Malvaceae;Malvales;E;88;27;115;1;NA;0;1;2;2
Gossypium_trilobum;angiosperms;1angiosperms;2angiosperms;471;Gossypium;trilobum;Gossypium_trilobum;;Gossypium trilobum ;P;diploid;1;;2;1.74;0.87;Malvaceae;Malvales;E;NA;NA;NA;0;NA;0;0;2;2
Gossypium_triphyllum;angiosperms;1angiosperms;2angiosperms;91;Gossypium;triphyllum;Gossypium_triphyllum;;Gossypium triphyllum ;P;diploid;1;;2;3.4;1.7;Malvaceae;Malvales;E;NA;NA;NA;0;NA;0;0;2;2
Gossypium_turneri;angiosperms;1angiosperms;2angiosperms;471;Gossypium;turneri;Gossypium_turneri;;Gossypium turneri ;P;diploid;1;;2;1.86;0.93;Malvaceae;Malvales;E;NA;NA;NA;0;NA;0;0;2;2
Greigia_sphacelata;angiosperms;1angiosperms;2angiosperms;825;Greigia;sphacelata;Greigia_sphacelata;;Greigia sphacelata ;P;diploid;1;;2;1.56;0.78;Bromeliaceae;Poales;M;NA;NA;NA;0;NA;0;0;2;2
Grevillea_robusta;angiosperms;1angiosperms;2angiosperms;185;Grevillea;robusta;Grevillea_robusta;;Grevillea robusta ;P;diploid;1;;2;1.6;0.8;Proteaceae;Proteales;E;32;24;56;1;5;1;2;2;2
Guihaia_argyrata;angiosperms;1angiosperms;2angiosperms;271;Guihaia;argyrata;Guihaia_argyrata;;Guihaia argyrata ;P;diploid;1;;2;11.9;5.95;Arecaceae;Arecales;M;NA;NA;NA;0;NA;0;0;2;2
Guindilia_dissecta;angiosperms;1angiosperms;2angiosperms;896;Guindilia;dissecta;Guindilia_dissecta;;Guindilia dissecta ;P;diploid;1;;2;2.32;1.16;Sapindaceae;Sapindales;E;NA;NA;NA;0;NA;0;0;2;2
Guindilia_trinervis;angiosperms;1angiosperms;2angiosperms;896;Guindilia;trinervis;Guindilia_trinervis;;Guindilia trinervis ;P;diploid;1;;2;2.4;1.2;Sapindaceae;Sapindales;E;NA;NA;NA;0;NA;0;0;2;2
Guizotia_abyssinica;angiosperms;1angiosperms;2angiosperms;212;Guizotia;abyssinica;Guizotia_abyssinica;;Guizotia abyssinica ;A;diploid;1;;2;7.7;3.85;Asteraceae;Asterales;E;33;5;38;1;NA;0;1;2;2
Guizotia_reptans;angiosperms;1angiosperms;2angiosperms;212;Guizotia;reptans;Guizotia_reptans;;Guizotia reptans ;P;diploid;1;;2;3.7;1.85;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2;2
Guizotia_scabra;angiosperms;1angiosperms;2angiosperms;212;Guizotia;scabra;Guizotia_scabra;;Guizotia scabra ;P;diploid;1;;2;5.3;2.65;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2;2
Guizotia_schimperi;angiosperms;1angiosperms;2angiosperms;212;Guizotia;schimperi;Guizotia_schimperi;;Guizotia schimperi ;A;diploid;1;;2;4.3;2.15;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2;2
Guizotia_villosa;angiosperms;1angiosperms;2angiosperms;212;Guizotia;villosa;Guizotia_villosa;;Guizotia villosa ;A;diploid;1;;2;4.2;2.1;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2;2
Guizotia_zavattarii;angiosperms;1angiosperms;2angiosperms;212;Guizotia;zavattarii;Guizotia_zavattarii;;Guizotia zavattarii ;P;diploid;1;;2;11.4;5.7;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2;2
Gunnera_manicata;angiosperms;1angiosperms;2angiosperms;379;Gunnera;manicata;Gunnera_manicata;;Gunnera manicata ;P;diploid;1;;2;14.87;7.435;Gunneraceae;Gunnerales;E;NA;5;5;1;1;1;2;2;2
Guzmania_monostachia;angiosperms;1angiosperms;2angiosperms;825;Guzmania;monostachia;Guzmania_monostachia;subsp. variegata  M.B.Foster;Guzmania monostachia subsp. variegata  M.B.Foster;P;diploid;1;;2;1.18;0.59;Bromeliaceae;Poales;M;NA;1;1;1;NA;0;1;2;2
Gymnocalycium_lukasikii;angiosperms;1angiosperms;2angiosperms;1004;Gymnocalycium;lukasikii;Gymnocalycium_lukasikii;;Gymnocalycium lukasikii ;;diploid;1;;2;4;2;Cactaceae;Caryophyllales;E;NA;NA;NA;0;NA;0;0;2;2
Gymnospermium_maloi;angiosperms;1angiosperms;2angiosperms;712;Gymnospermium;maloi;Gymnospermium_maloi;;Gymnospermium maloi ;P;diploid;1;;2;29.44;14.72;Berberidaceae;Ranunculales;E;NA;NA;NA;0;NA;0;0;2;2
Gymnospermium_peloponnesiacum;angiosperms;1angiosperms;2angiosperms;712;Gymnospermium;peloponnesiacum;Gymnospermium_peloponnesiacum;;Gymnospermium peloponnesiacum ;P;diploid;1;;2;31.93;15.965;Berberidaceae;Ranunculales;E;NA;NA;NA;0;NA;0;0;2;2
Gymnostoma_deplancheana;angiosperms;1angiosperms;2angiosperms;452;Gymnostoma;deplancheana;Gymnostoma_deplancheana;;Gymnostoma deplancheana ;P;diploid;1;;2;0.75;0.375;Casuarinaceae;Rosales;E;NA;NA;NA;0;NA;0;0;2;2
Gynandriris_setifolia;angiosperms;1angiosperms;2angiosperms;137;Gynandriris;setifolia;Gynandriris_setifolia;;Gynandriris setifolia ;P;diploid;1;;2;20.9;10.45;Iridaceae;Asparagales;M;20;1;21;1;NA;0;1;2;2
Gypsophila_repens;angiosperms;1angiosperms;2angiosperms;156;Gypsophila;repens;Gypsophila_repens;;Gypsophila repens ;P;diploid;1;;2;1.4;0.7;Caryophyllaceae;Caryophyllales;E;1;NA;1;1;NA;0;1;2;2
Habenaria_edgeworthii;angiosperms;1angiosperms;2angiosperms;250;Habenaria;edgeworthii;Habenaria_edgeworthii;;Habenaria edgeworthii ;P;diploid;1;;2;15.4;7.7;Orchidaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Habenaria_pectinata;angiosperms;1angiosperms;2angiosperms;250;Habenaria;pectinata;Habenaria_pectinata;;Habenaria pectinata ;P;diploid;1;;2;31;15.5;Orchidaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Hackelia_deflexa;angiosperms;1angiosperms;2angiosperms;993;Hackelia;deflexa;Hackelia_deflexa;;Hackelia deflexa ;;diploid;1;;2;0.97;0.485;Boraginaceae;Boraginales;E;2;NA;2;1;NA;0;1;2;2
Haemanthus_albiflos;angiosperms;1angiosperms;2angiosperms;829;Haemanthus;albiflos;Haemanthus_albiflos;;Haemanthus albiflos ;P;diploid;1;;2;66.44183673;33.22091837;Amaryllidaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haemanthus_katherinae;angiosperms;1angiosperms;2angiosperms;155;Haemanthus;katherinae;Haemanthus_katherinae;;Haemanthus katherinae ;P;diploid;1;;2;117.7;58.85;Amaryllidaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Halacsya_sendtneri;angiosperms;1angiosperms;2angiosperms;776;Halacsya;sendtneri;Halacsya_sendtneri;;Halacsya sendtneri ;P;diploid;1;;2;2.6;1.3;Boraginaceae;Boraginales;E;NA;NA;NA;0;NA;0;0;2;2
Halimium_atriplicifolium;angiosperms;1angiosperms;2angiosperms;567;Halimium;atriplicifolium;Halimium_atriplicifolium;;Halimium atriplicifolium ;P;diploid;1;;2;3.66;1.83;Cistaceae;Malvales;E;NA;NA;NA;0;NA;0;0;2;2
Halimium_calycinum;angiosperms;1angiosperms;2angiosperms;567;Halimium;calycinum;Halimium_calycinum;;Halimium calycinum ;P;diploid;1;;2;7.61;3.805;Cistaceae;Malvales;E;NA;NA;NA;0;NA;0;0;2;2
Halimium_halimifolium;angiosperms;1angiosperms;2angiosperms;567;Halimium;halimifolium;Halimium_halimifolium;subsp. multiflorum (Salzm. Ex Dunal) Maire;Halimium halimifolium subsp. multiflorum (Salzm. Ex Dunal) Maire;P;diploid;1;;2;4.71;2.355;Cistaceae;Malvales;E;NA;NA;NA;0;NA;0;0;2;2
Halimium_lasianthum;angiosperms;1angiosperms;2angiosperms;567;Halimium;lasianthum;Halimium_lasianthum;subsp. alyssoides (Lam.) Greuter;Halimium lasianthum subsp. alyssoides (Lam.) Greuter;P;diploid;1;;2;6.24;3.12;Cistaceae;Malvales;E;1;NA;1;1;NA;0;1;2;2
Halimium_ocymoides;angiosperms;1angiosperms;2angiosperms;567;Halimium;ocymoides;Halimium_ocymoides;;Halimium ocymoides ;P;diploid;1;;2;5.52;2.76;Cistaceae;Malvales;E;NA;NA;NA;0;NA;0;0;2;2
Halimium_umbellatum;angiosperms;1angiosperms;2angiosperms;567;Halimium;umbellatum;Halimium_umbellatum;subsp. viscosum;Halimium umbellatum subsp. viscosum;P;diploid;1;;2;3.82;1.91;Cistaceae;Malvales;E;NA;NA;NA;0;NA;0;0;2;2
Hamelia_patens;angiosperms;1angiosperms;2angiosperms;175;Hamelia;patens;Hamelia_patens;var. patens;Hamelia patens var. patens;P;diploid;1;;2;3;1.5;Rubiaceae;Gentianales;E;NA;1;1;1;NA;0;1;2;2
Hampea_appendiculata;angiosperms;1angiosperms;2angiosperms;444;Hampea;appendiculata;Hampea_appendiculata;;Hampea appendiculata ;-;diploid;1;;2;5.9;2.95;Malvaceae;Malvales;E;NA;NA;NA;0;NA;0;0;2;2
Handroanthus_heptaphyllus;angiosperms;1angiosperms;2angiosperms;869;Handroanthus;heptaphyllus;Handroanthus_heptaphyllus;;Handroanthus heptaphyllus ;P;diploid;1;;2;1.08;0.54;Bignoniaceae;Lamiales;E;NA;NA;NA;0;NA;0;0;2;2
Handroanthus_impetiginosus;angiosperms;1angiosperms;2angiosperms;869;Handroanthus;impetiginosus;Handroanthus_impetiginosus;;Handroanthus impetiginosus ;P;diploid;1;;2;1.01;0.505;Bignoniaceae;Lamiales;E;1;NA;1;1;NA;0;1;2;2
Haplopappus_gracilis;angiosperms;1angiosperms;2angiosperms;1;Haplopappus;gracilis;Haplopappus_gracilis;;Haplopappus gracilis ;A;diploid;1;;2;4.1;2.05;Asteraceae;Asterales;E;2;NA;2;1;NA;0;1;2;2
Haworthia_agnis;angiosperms;1angiosperms;2angiosperms;823;Haworthia;agnis;Haworthia_agnis;;Haworthia agnis ;P;diploid;1;;2;27.2;13.6;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_angustifolia;angiosperms;1angiosperms;2angiosperms;823;Haworthia;angustifolia;Haworthia_angustifolia;var. altissima  M.B. Bayer;Haworthia angustifolia var. altissima  M.B. Bayer;P;diploid;1;;2;24.3;12.15;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_arachnoidea;angiosperms;1angiosperms;2angiosperms;823;Haworthia;arachnoidea;Haworthia_arachnoidea;var. setata (Haw.) M.B.Bayer;Haworthia arachnoidea var. setata (Haw.) M.B.Bayer;P;diploid;1;;2;24.25;12.125;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_aristata;angiosperms;1angiosperms;2angiosperms;823;Haworthia;aristata;Haworthia_aristata;;Haworthia aristata ;P;diploid;1;;2;23.2;11.6;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_asema;angiosperms;1angiosperms;2angiosperms;823;Haworthia;asema;Haworthia_asema;;Haworthia asema ;P;diploid;1;;2;22.3;11.15;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_attenuata;angiosperms;1angiosperms;2angiosperms;823;Haworthia;attenuata;Haworthia_attenuata;var. radula (Jacq.) M.B.Bayer;Haworthia attenuata var. radula (Jacq.) M.B.Bayer;P;diploid;1;;2;26.27;13.135;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_bayeri;angiosperms;1angiosperms;2angiosperms;823;Haworthia;bayeri;Haworthia_bayeri;;Haworthia bayeri ;P;diploid;1;;2;22.7;11.35;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_blackburniae;angiosperms;1angiosperms;2angiosperms;823;Haworthia;blackburniae;Haworthia_blackburniae;var. derustensis M.B.Bayer;Haworthia blackburniae var. derustensis M.B.Bayer;P;diploid;1;;2;21.7;10.85;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_bolusii;angiosperms;1angiosperms;2angiosperms;823;Haworthia;bolusii;Haworthia_bolusii;var. blackbeardiana (Poelln.) M.B.Bayer;Haworthia bolusii var. blackbeardiana (Poelln.) M.B.Bayer;P;diploid;1;;2;23.4;11.7;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_bruynsii;angiosperms;1angiosperms;2angiosperms;823;Haworthia;bruynsii;Haworthia_bruynsii;;Haworthia bruynsii ;P;diploid;1;;2;29.3;14.65;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_coarctata;angiosperms;1angiosperms;2angiosperms;823;Haworthia;coarctata;Haworthia_coarctata;var. tenuis (G.G.Sm.) M.B.Bayer;Haworthia coarctata var. tenuis (G.G.Sm.) M.B.Bayer;P;diploid;1;;2;25.4;12.7;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_comptoniana;angiosperms;1angiosperms;2angiosperms;823;Haworthia;comptoniana;Haworthia_comptoniana;;Haworthia comptoniana ;P;diploid;1;;2;23.1;11.55;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_cooperi;angiosperms;1angiosperms;2angiosperms;823;Haworthia;cooperi;Haworthia_cooperi;var. doldii  M.B.Bayer;Haworthia cooperi var. doldii  M.B.Bayer;P;diploid;1;;2;22.9;11.45;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_cymbiformis;angiosperms;1angiosperms;2angiosperms;823;Haworthia;cymbiformis;Haworthia_cymbiformis;var. setulifera (Poelln.) M.B.Bayer;Haworthia cymbiformis var. setulifera (Poelln.) M.B.Bayer;P;diploid;1;;2;22.95;11.475;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_decipiens;angiosperms;1angiosperms;2angiosperms;823;Haworthia;decipiens;Haworthia_decipiens;var. xiphiophylla  (Baker) M.B.Bayer;Haworthia decipiens var. xiphiophylla  (Baker) M.B.Bayer;P;diploid;1;;2;23.8;11.9;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_emelyae;angiosperms;1angiosperms;2angiosperms;823;Haworthia;emelyae;Haworthia_emelyae;var. emelyae;Haworthia emelyae var. emelyae;P;diploid;1;;2;23.7;11.85;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_fasciata;angiosperms;1angiosperms;2angiosperms;823;Haworthia;fasciata;Haworthia_fasciata;;Haworthia fasciata ;P;diploid;1;;2;26.2;13.1;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_floribunda;angiosperms;1angiosperms;2angiosperms;823;Haworthia;floribunda;Haworthia_floribunda;var. major  M.B.Bayer;Haworthia floribunda var. major  M.B.Bayer;P;diploid;1;;2;23.8;11.9;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_glauca;angiosperms;1angiosperms;2angiosperms;823;Haworthia;glauca;Haworthia_glauca;var. glauca;Haworthia glauca var. glauca;P;diploid;1;;2;25.1;12.55;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_globifera;angiosperms;1angiosperms;2angiosperms;823;Haworthia;globifera;Haworthia_globifera;;Haworthia globifera ;P;diploid;1;;2;22.7;11.35;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_globosiflora;angiosperms;1angiosperms;2angiosperms;823;Haworthia;globosiflora;Haworthia_globosiflora;;Haworthia globosiflora ;P;diploid;1;;2;25.3;12.65;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_granulata;angiosperms;1angiosperms;2angiosperms;823;Haworthia;granulata;Haworthia_granulata;;Haworthia granulata ;P;diploid;1;;2;28.9;14.45;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_herbacea;angiosperms;1angiosperms;2angiosperms;823;Haworthia;herbacea;Haworthia_herbacea;var. lupula M.B.Bayer;Haworthia herbacea var. lupula M.B.Bayer;P;diploid;1;;2;23.8;11.9;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_chloracantha;angiosperms;1angiosperms;2angiosperms;823;Haworthia;chloracantha;Haworthia_chloracantha;var. subglauca Poelln.;Haworthia chloracantha var. subglauca Poelln.;P;diploid;1;;2;23;11.5;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_lockwoodii;angiosperms;1angiosperms;2angiosperms;823;Haworthia;lockwoodii;Haworthia_lockwoodii;;Haworthia lockwoodii ;P;diploid;1;;2;23.2;11.6;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_longiana;angiosperms;1angiosperms;2angiosperms;823;Haworthia;longiana;Haworthia_longiana;;Haworthia longiana ;P;diploid;1;;2;26.4;13.2;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_maculata;angiosperms;1angiosperms;2angiosperms;823;Haworthia;maculata;Haworthia_maculata;var. maculata;Haworthia maculata var. maculata;P;diploid;1;;2;23.8;11.9;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_marginata;angiosperms;1angiosperms;2angiosperms;823;Haworthia;marginata;Haworthia_marginata;;Haworthia marginata ;P;diploid;1;;2;35.1;17.55;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_marumiana;angiosperms;1angiosperms;2angiosperms;823;Haworthia;marumiana;Haworthia_marumiana;var batesiana (Uitewaal)  M.B.Bayer;Haworthia marumiana var batesiana (Uitewaal)  M.B.Bayer;P;diploid;1;;2;23.3;11.65;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_mcmurtryi;angiosperms;1angiosperms;2angiosperms;823;Haworthia;mcmurtryi;Haworthia_mcmurtryi;;Haworthia mcmurtryi ;P;diploid;1;;2;30.3;15.15;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_minima;angiosperms;1angiosperms;2angiosperms;823;Haworthia;minima;Haworthia_minima;var. minima (Aiton) Haw.;Haworthia minima var. minima (Aiton) Haw.;P;diploid;1;;2;35.9;17.95;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_mirabilis;angiosperms;1angiosperms;2angiosperms;823;Haworthia;mirabilis;Haworthia_mirabilis;var. sublineata  (Poelln.) M.B.Bayer;Haworthia mirabilis var. sublineata  (Poelln.) M.B.Bayer;P;diploid;1;;2;22.7;11.35;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_monticola;angiosperms;1angiosperms;2angiosperms;823;Haworthia;monticola;Haworthia_monticola;;Haworthia monticola ;P;diploid;1;;2;23.2;11.6;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_mucronata;angiosperms;1angiosperms;2angiosperms;823;Haworthia;mucronata;Haworthia_mucronata;var. rycroftiana M.B.Bayer;Haworthia mucronata var. rycroftiana M.B.Bayer;P;diploid;1;;2;24.15;12.075;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_mutica;angiosperms;1angiosperms;2angiosperms;823;Haworthia;mutica;Haworthia_mutica;;Haworthia mutica ;P;diploid;1;;2;23.4;11.7;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_nigra;angiosperms;1angiosperms;2angiosperms;823;Haworthia;nigra;Haworthia_nigra;var. nigra;Haworthia nigra var. nigra;P;diploid;1;;2;27.25;13.625;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_nortieri;angiosperms;1angiosperms;2angiosperms;823;Haworthia;nortieri;Haworthia_nortieri;;Haworthia nortieri ;P;diploid;1;;2;26.3;13.15;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_outeniquensis;angiosperms;1angiosperms;2angiosperms;823;Haworthia;outeniquensis;Haworthia_outeniquensis;;Haworthia outeniquensis ;P;diploid;1;;2;23.2;11.6;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_parksiana;angiosperms;1angiosperms;2angiosperms;823;Haworthia;parksiana;Haworthia_parksiana;;Haworthia parksiana ;P;diploid;1;;2;23.4;11.7;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_pehlemanniae;angiosperms;1angiosperms;2angiosperms;823;Haworthia;pehlemanniae;Haworthia_pehlemanniae;;Haworthia pehlemanniae ;P;diploid;1;;2;24.5;12.25;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_pubescens;angiosperms;1angiosperms;2angiosperms;823;Haworthia;pubescens;Haworthia_pubescens;;Haworthia pubescens ;P;diploid;1;;2;24.5;12.25;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_pulchella;angiosperms;1angiosperms;2angiosperms;823;Haworthia;pulchella;Haworthia_pulchella;var. archeri  (M.B.Bayer) M.B.Bayer;Haworthia pulchella var. archeri  (M.B.Bayer) M.B.Bayer;P;diploid;1;;2;23.9;11.95;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_pungens;angiosperms;1angiosperms;2angiosperms;823;Haworthia;pungens;Haworthia_pungens;;Haworthia pungens ;P;diploid;1;;2;25.7;12.85;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_pygmaea;angiosperms;1angiosperms;2angiosperms;823;Haworthia;pygmaea;Haworthia_pygmaea;var. dekenahii  (G.G.Sm.) M.B.Bayer;Haworthia pygmaea var. dekenahii  (G.G.Sm.) M.B.Bayer;P;diploid;1;;2;23.1;11.55;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_reddii;angiosperms;1angiosperms;2angiosperms;823;Haworthia;reddii;Haworthia_reddii;;Haworthia reddii ;P;diploid;1;;2;22.4;11.2;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_reticulata;angiosperms;1angiosperms;2angiosperms;823;Haworthia;reticulata;Haworthia_reticulata;var. reticulata;Haworthia reticulata var. reticulata;P;diploid;1;;2;23.8;11.9;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_rossouwii;angiosperms;1angiosperms;2angiosperms;823;Haworthia;rossouwii;Haworthia_rossouwii;var. calcarea  (M.B.Bayer) M.B.Bayer;Haworthia rossouwii var. calcarea  (M.B.Bayer) M.B.Bayer;P;diploid;1;;2;23.1;11.55;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_scabra;angiosperms;1angiosperms;2angiosperms;823;Haworthia;scabra;Haworthia_scabra;var. scabra;Haworthia scabra var. scabra;P;diploid;1;;2;29.1;14.55;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_semiviva;angiosperms;1angiosperms;2angiosperms;823;Haworthia;semiviva;Haworthia_semiviva;;Haworthia semiviva ;P;diploid;1;;2;24.4;12.2;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_sordida;angiosperms;1angiosperms;2angiosperms;823;Haworthia;sordida;Haworthia_sordida;;Haworthia sordida ;P;diploid;1;;2;26.9;13.45;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_springbokvlakensis;angiosperms;1angiosperms;2angiosperms;823;Haworthia;springbokvlakensis;Haworthia_springbokvlakensis;;Haworthia springbokvlakensis ;P;diploid;1;;2;23.9;11.95;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_transiens;angiosperms;1angiosperms;2angiosperms;823;Haworthia;transiens;Haworthia_transiens;;Haworthia transiens ;P;diploid;1;;2;23.1;11.55;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_truncata;angiosperms;1angiosperms;2angiosperms;823;Haworthia;truncata;Haworthia_truncata;var. truncata;Haworthia truncata var. truncata;P;diploid;1;;2;21.9;10.95;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_turgida;angiosperms;1angiosperms;2angiosperms;823;Haworthia;turgida;Haworthia_turgida;var. turgida;Haworthia turgida var. turgida;P;diploid;1;;2;23.2;11.6;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_variabilis;angiosperms;1angiosperms;2angiosperms;823;Haworthia;variabilis;Haworthia_variabilis;;Haworthia variabilis ;P;diploid;1;;2;29.1;14.55;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_variegata;angiosperms;1angiosperms;2angiosperms;823;Haworthia;variegata;Haworthia_variegata;var. modesta  M.B.Bayer;Haworthia variegata var. modesta  M.B.Bayer;P;diploid;1;;2;23.4;11.7;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_venosa;angiosperms;1angiosperms;2angiosperms;823;Haworthia;venosa;Haworthia_venosa;;Haworthia venosa ;P;diploid;1;;2;29.9;14.95;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
Haworthia_viscosa;angiosperms;1angiosperms;2angiosperms;823;Haworthia;viscosa;Haworthia_viscosa;;Haworthia viscosa ;P;diploid;1;;2;26.4;13.2;Asphodelaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2;2
